Date,Price,Change %,VIX Level,Average VIX Level,VIX Level Squared,Recent Volatility,Average Recent Volatility,Next Realized Volatility,Average Next Realized Volatility,VIX Premium,Average VIX Premium,MR Volatility,MR Volatility Squared,Difference,Average Difference,Squared Difference,Variance Premium,EVIX,DTM,Volatility Premium,Average Volatility Premium,MR Adjustment,Average MR,VCR,Average VCR,CHECK,% Change Recent Volatility,Average % Change Recent Volatility
1996-03-28,648.90,0.0,18.16,13.22,329.79,14.98,8.95,11.56,9.71,6.6,3.51,15.2,230.97,2.96,1.9,98.82,147.65,19.46,-1.3,4.26,4.26,0.22,0.22,-1.08,-1.08,161.55,3.42,3.42
1996-03-29,645.50,-0.52,18.88,13.24,356.45,14.93,8.98,12.14,9.73,6.74,3.51,15.17,230.07,3.71,1.91,126.38,147.09,19.42,-0.54,4.25,4.25,0.24,0.24,-0.3,-0.3,161.72,2.79,2.79
1996-04-01,653.70,1.27,17.9,13.26,320.41,15.31,9.01,11.73,9.76,6.17,3.5,15.42,237.63,2.48,1.9,82.78,151.78,19.73,-1.83,4.32,4.32,0.1,0.1,-1.73,-1.73,165.37,3.58,3.58
1996-04-02,655.30,0.24,16.45,13.27,270.6,14.91,9.04,11.72,9.78,4.73,3.49,15.16,229.69,1.29,1.9,40.91,146.86,19.4,-2.95,4.25,4.25,0.24,0.24,-2.71,-2.71,159.06,3.19,3.19
1996-04-03,655.90,0.09,16.33,13.29,266.67,14.55,9.07,11.73,9.8,4.6,3.49,14.92,222.69,1.41,1.9,43.98,142.5,19.11,-2.78,4.19,4.19,0.37,0.37,-2.41,-2.41,154.65,2.82,2.82
1996-04-04,655.90,0.0,16.18,13.3,261.79,13.71,9.1,11.84,9.82,4.34,3.48,14.38,206.82,1.8,1.89,54.98,132.65,18.42,-2.24,4.04,4.04,0.67,0.67,-1.57,-1.57,144.79,1.87,1.87
1996-04-08,644.20,-1.78,18.72,13.32,350.44,14.64,9.12,10.56,9.83,8.16,3.49,14.98,224.33,3.74,1.9,126.11,143.52,19.18,-0.46,4.2,4.2,0.34,0.34,-0.12,-0.12,158.04,4.08,4.08
1996-04-09,642.20,-0.31,17.32,13.34,299.98,14.19,9.15,10.48,9.84,6.84,3.5,14.69,215.77,2.63,1.9,84.22,138.21,18.81,-1.49,4.13,4.13,0.5,0.5,-0.99,-0.99,151.4,3.7,3.7
1996-04-10,633.50,-1.35,20.22,13.37,408.85,14.63,9.19,9.63,9.85,10.59,3.52,14.98,224.27,5.24,1.9,184.58,143.48,19.18,1.04,4.2,4.2,0.34,0.34,1.39,1.39,159.5,5.0,5.0
1996-04-11,631.20,-0.36,19.65,13.4,386.12,14.63,9.22,9.62,9.85,10.03,3.55,14.97,224.23,4.68,1.91,161.89,143.46,19.18,0.47,4.2,4.2,0.34,0.34,0.82,0.82,158.91,5.01,5.01
1996-04-12,636.70,0.87,17.38,13.42,302.06,14.75,9.25,9.44,9.86,7.94,3.56,15.05,226.63,2.33,1.92,75.44,144.95,19.28,-1.9,4.22,4.22,0.3,0.3,-1.6,-1.6,158.11,5.31,5.31
1996-04-15,642.50,0.91,16.83,13.44,283.25,14.89,9.28,9.76,9.87,7.07,3.58,15.14,229.19,1.69,1.91,54.06,146.54,19.38,-2.55,4.24,4.24,0.25,0.25,-2.3,-2.3,159.13,5.12,5.12
1996-04-16,645.00,0.39,16.45,13.46,270.6,14.64,9.31,10.0,9.87,6.45,3.59,14.98,224.36,1.47,1.91,46.24,143.54,19.18,-2.73,4.2,4.2,0.34,0.34,-2.39,-2.39,155.79,4.64,4.64
1996-04-17,641.60,-0.53,17.07,13.47,291.38,14.51,9.35,9.89,9.87,7.18,3.6,14.9,221.88,2.17,1.9,69.51,142.0,19.08,-2.01,4.18,4.18,0.39,0.39,-1.62,-1.62,154.89,4.62,4.62
1996-04-18,643.60,0.31,16.41,13.49,269.29,14.46,9.38,10.0,9.87,6.41,3.62,14.87,221.04,1.54,1.9,48.25,141.48,19.04,-2.63,4.17,4.17,0.4,0.4,-2.23,-2.23,153.72,4.46,4.46
1996-04-19,645.10,0.23,15.12,13.5,228.61,14.46,9.41,10.04,9.87,5.08,3.63,14.87,220.98,0.25,1.89,7.64,141.44,19.04,-3.92,4.17,4.17,0.4,0.4,-3.51,-3.51,152.39,4.42,4.42
1996-04-22,647.90,0.43,15.38,13.52,236.54,11.27,9.43,10.16,9.88,5.22,3.64,12.81,164.13,2.57,1.89,72.42,106.14,16.44,-1.06,3.63,3.63,1.54,1.54,0.48,0.48,117.89,1.11,1.11
1996-04-23,651.60,0.57,15.01,13.53,225.3,11.01,9.45,10.31,9.88,4.7,3.65,12.64,159.83,2.37,1.89,65.47,103.47,16.23,-1.22,3.58,3.58,1.63,1.63,0.41,0.41,114.9,0.71,0.71
1996-04-24,650.20,-0.21,14.91,13.54,222.31,10.94,9.47,10.62,9.88,4.29,3.65,12.59,158.61,2.32,1.89,63.7,102.71,16.17,-1.26,3.57,3.57,1.66,1.66,0.4,0.4,114.05,0.32,0.32
1996-04-25,652.90,0.42,14.72,13.55,216.68,10.98,9.49,10.58,9.89,4.14,3.66,12.62,159.24,2.1,1.88,57.44,103.11,16.2,-1.48,3.58,3.58,1.64,1.64,0.17,0.17,114.25,0.4,0.4
1996-04-26,653.50,0.09,14.75,13.56,217.56,10.94,9.51,10.61,9.89,4.14,3.67,12.59,158.63,2.16,1.88,58.93,102.73,16.17,-1.42,3.57,3.57,1.66,1.66,0.24,0.24,113.91,0.33,0.33
1996-04-29,654.20,0.11,15.45,13.57,238.7,10.94,9.53,10.64,9.89,4.81,3.68,12.6,158.64,2.85,1.88,80.06,102.74,16.17,-0.72,3.57,3.57,1.66,1.66,0.94,0.94,114.61,0.3,0.3
1996-04-30,654.20,0.0,15.83,13.59,250.59,9.71,9.55,10.69,9.89,5.14,3.7,11.8,139.29,4.03,1.89,111.3,90.72,15.17,0.66,3.36,3.36,2.09,2.09,2.76,2.76,103.19,-0.98,-0.98
1996-05-01,654.60,0.06,16.07,13.61,258.24,9.7,9.56,10.71,9.9,5.36,3.71,11.8,139.14,4.27,1.9,119.1,90.63,15.16,0.91,3.36,3.36,2.1,2.1,3.01,3.01,103.34,-1.02,-1.02
1996-05-02,643.40,-1.71,18.62,13.63,346.7,10.9,9.58,9.38,9.89,9.24,3.73,12.57,157.93,6.05,1.91,188.77,102.3,16.13,2.49,3.56,3.56,1.67,1.67,4.16,4.16,117.35,1.52,1.52
1996-05-03,641.60,-0.28,16.7,13.65,278.89,10.92,9.6,9.33,9.89,7.37,3.76,12.58,158.28,4.12,1.91,120.61,102.51,16.15,0.55,3.57,3.57,1.66,1.66,2.22,2.22,115.64,1.59,1.59
1996-05-06,640.80,-0.12,16.92,13.67,286.29,10.89,9.62,9.46,9.89,7.46,3.78,12.56,157.87,4.36,1.92,128.42,102.26,16.13,0.79,3.56,3.56,1.67,1.67,2.46,2.46,115.61,1.43,1.43
1996-05-07,638.30,-0.39,16.87,13.68,284.6,10.94,9.64,9.35,9.89,7.52,3.8,12.59,158.59,4.28,1.92,126.0,102.71,16.16,0.71,3.57,3.57,1.66,1.66,2.36,2.36,116.0,1.59,1.59
1996-05-08,644.80,1.02,15.78,13.69,249.01,11.28,9.66,8.96,9.88,6.82,3.81,12.82,164.25,2.96,1.92,84.76,106.22,16.45,-0.67,3.63,3.63,1.53,1.53,0.87,0.87,118.37,2.33,2.33
1996-05-09,645.40,0.09,16.99,13.71,288.66,11.15,9.68,9.14,9.87,7.85,3.84,12.73,162.02,4.26,1.92,126.64,104.84,16.34,0.65,3.61,3.61,1.58,1.58,2.24,2.24,118.22,2.01,2.01
1996-05-10,652.10,1.04,15.61,13.72,243.67,11.56,9.71,8.73,9.86,6.88,3.86,12.99,168.86,2.62,1.92,74.81,109.08,16.67,-1.06,3.68,3.68,1.44,1.44,0.37,0.37,121.01,2.83,2.83
1996-05-13,661.50,1.44,15.16,13.74,229.83,12.14,9.73,7.73,9.85,7.43,3.89,13.37,178.82,1.79,1.92,51.0,115.27,17.15,-1.99,3.78,3.78,1.23,1.23,-0.76,-0.76,126.65,4.42,4.42
1996-05-14,665.60,0.62,14.9,13.75,222.01,11.73,9.76,7.74,9.83,7.16,3.91,13.11,171.79,1.79,1.91,50.22,110.9,16.81,-1.91,3.71,3.71,1.37,1.37,-0.54,-0.54,122.09,3.99,3.99
1996-05-15,665.40,-0.03,15.59,13.76,243.05,11.72,9.78,7.95,9.82,7.64,3.94,13.1,171.63,2.49,1.91,71.41,110.8,16.81,-1.22,3.7,3.7,1.38,1.38,0.16,0.16,122.69,3.77,3.77
1996-05-16,664.90,-0.08,15.71,13.77,246.8,11.73,9.8,7.99,9.81,7.72,3.96,13.1,171.73,2.61,1.91,75.07,110.86,16.81,-1.1,3.71,3.71,1.38,1.38,0.27,0.27,122.87,3.74,3.74
1996-05-17,668.90,0.6,15.13,13.78,228.92,11.84,9.82,8.12,9.8,7.01,3.98,13.17,173.54,1.96,1.91,55.37,111.99,16.9,-1.77,3.72,3.72,1.34,1.34,-0.43,-0.43,123.39,3.71,3.71
1996-05-20,673.10,0.63,15.8,13.79,249.64,10.56,9.83,7.99,9.79,7.81,4.0,12.35,152.51,3.45,1.91,97.13,98.93,15.86,-0.06,3.51,3.51,1.79,1.79,1.73,1.73,111.22,2.56,2.56
1996-05-21,672.80,-0.04,16.0,13.81,256.0,10.48,9.84,8.01,9.79,7.99,4.03,12.3,151.35,3.7,1.92,104.65,98.21,15.8,0.2,3.49,3.49,1.82,1.82,2.02,2.02,110.71,2.47,2.47
1996-05-22,678.40,0.83,15.5,13.83,240.25,9.63,9.85,9.93,9.78,5.57,4.05,11.75,138.09,3.75,1.94,102.16,89.98,15.1,0.4,3.35,3.35,2.12,2.12,2.52,2.52,102.12,-0.3,-0.3
1996-05-23,676.00,-0.35,16.17,13.85,261.47,9.62,9.85,10.08,9.78,6.09,4.06,11.75,138.01,4.42,1.95,123.46,89.93,15.1,1.07,3.35,3.35,2.12,2.12,3.2,3.2,102.75,-0.46,-0.46
1996-05-24,678.50,0.37,15.54,13.86,241.49,9.44,9.86,10.07,9.78,5.47,4.08,11.63,135.28,3.91,1.96,106.21,88.23,14.95,0.59,3.32,3.32,2.19,2.19,2.78,2.78,100.45,-0.63,-0.63
1996-05-28,672.20,-0.93,16.92,13.88,286.29,9.76,9.87,9.81,9.78,7.11,4.1,11.84,140.15,5.08,1.97,146.14,91.25,15.21,1.71,3.37,3.37,2.07,2.07,3.78,3.78,104.8,-0.05,-0.05
1996-05-29,667.90,-0.64,17.15,13.89,294.12,10.0,9.87,10.63,9.79,6.52,4.11,11.99,143.77,5.16,1.99,150.35,93.5,15.4,1.75,3.41,3.41,1.99,1.99,3.74,3.74,107.24,-0.63,-0.63
1996-05-30,671.70,0.57,16.02,13.91,256.64,9.89,9.87,10.45,9.79,5.57,4.12,11.92,142.05,4.1,2.0,114.59,92.43,15.31,0.71,3.39,3.39,2.03,2.03,2.74,2.74,105.06,-0.57,-0.57
1996-05-31,669.10,-0.39,16.07,13.92,258.24,10.0,9.87,12.57,9.81,3.5,4.12,11.99,143.77,4.08,2.02,114.47,93.5,15.4,0.67,3.41,3.41,1.99,1.99,2.66,2.66,106.16,-2.57,-2.57
1996-06-03,667.70,-0.21,16.86,13.94,284.26,10.04,9.87,12.57,9.82,4.29,4.12,12.02,144.45,4.84,2.03,139.81,93.92,15.44,1.42,3.42,3.42,1.97,1.97,3.4,3.4,107.36,-2.52,-2.52
1996-06-04,672.60,0.73,16.18,13.95,261.79,10.16,9.88,12.69,9.83,3.49,4.12,12.09,146.29,4.09,2.04,115.51,95.06,15.54,0.64,3.44,3.44,1.93,1.93,2.58,2.58,107.8,-2.53,-2.53
1996-06-05,678.40,0.86,16.04,13.96,257.28,10.31,9.88,13.28,9.84,2.76,4.12,12.19,148.53,3.85,2.05,108.75,96.46,15.65,0.39,3.46,3.46,1.88,1.88,2.27,2.27,109.03,-2.97,-2.97
1996-06-06,673.00,-0.8,16.84,13.98,283.59,10.62,9.88,13.26,9.85,3.58,4.12,12.39,153.44,4.45,2.06,130.15,99.5,15.9,0.94,3.52,3.52,1.77,1.77,2.71,2.71,112.83,-2.64,-2.64
1996-06-07,673.30,0.04,16.1,13.99,259.21,10.58,9.89,13.36,9.87,2.74,4.12,12.36,152.84,3.74,2.07,106.37,99.14,15.87,0.23,3.51,3.51,1.78,1.78,2.01,2.01,111.72,-2.78,-2.78
1996-06-10,672.20,-0.16,16.78,14.01,281.57,10.61,9.89,13.6,9.88,3.18,4.13,12.38,153.29,4.4,2.09,128.28,99.41,15.9,0.88,3.52,3.52,1.77,1.77,2.66,2.66,112.67,-3.0,-3.0
1996-06-11,671.00,-0.18,16.68,14.03,278.22,10.64,9.89,13.61,9.9,3.07,4.13,12.4,153.76,4.28,2.11,124.46,99.71,15.92,0.76,3.52,3.52,1.76,1.76,2.52,2.52,112.87,-2.98,-2.98
1996-06-12,669.00,-0.3,17.0,14.05,289.0,10.69,9.89,13.89,9.91,3.11,4.14,12.44,154.67,4.56,2.13,134.33,100.27,15.97,1.03,3.53,3.53,1.74,1.74,2.78,2.78,113.74,-3.19,-3.19
1996-06-13,667.90,-0.16,17.12,14.08,293.09,10.71,9.9,14.15,9.93,2.97,4.15,12.45,155.02,4.67,2.15,138.07,100.49,15.98,1.14,3.53,3.53,1.74,1.74,2.87,2.87,114.07,-3.43,-3.43
1996-06-14,665.90,-0.3,18.64,14.11,347.45,9.38,9.89,14.26,9.95,4.38,4.16,11.59,134.28,7.05,2.19,213.17,87.61,14.9,3.74,3.31,3.31,2.21,2.21,5.96,5.96,102.94,-4.88,-4.88
1996-06-17,665.20,-0.11,17.46,14.13,304.85,9.33,9.89,14.48,9.97,2.98,4.17,11.56,133.54,5.9,2.21,171.31,87.15,14.86,2.6,3.3,3.3,2.23,2.23,4.83,4.83,101.31,-5.16,-5.16
1996-06-18,662.10,-0.47,17.45,14.16,304.5,9.46,9.89,14.67,9.99,2.78,4.17,11.64,135.53,5.81,2.24,168.97,88.38,14.96,2.49,3.32,3.32,2.18,2.18,4.67,4.67,102.51,-5.22,-5.22
1996-06-19,662.00,-0.02,17.54,14.18,307.65,9.35,9.89,15.45,10.01,2.09,4.17,11.57,133.89,5.97,2.27,173.76,87.36,14.87,2.67,3.3,3.3,2.22,2.22,4.89,4.89,101.6,-6.1,-6.1
1996-06-20,662.10,0.02,16.97,14.2,287.98,8.96,9.88,16.48,10.04,0.49,4.17,11.32,128.09,5.65,2.29,159.9,83.76,14.55,2.42,3.24,3.24,2.36,2.36,4.78,4.78,97.49,-7.53,-7.53
1996-06-21,666.80,0.71,15.8,14.22,249.64,9.14,9.87,16.37,10.07,-0.57,4.16,11.43,130.71,4.37,2.32,118.93,85.39,14.7,1.1,3.27,3.27,2.3,2.3,3.4,3.4,97.92,-7.24,-7.24
1996-06-24,668.90,0.31,15.91,14.24,253.13,8.73,9.86,16.38,10.1,-0.47,4.14,11.17,124.74,4.74,2.34,128.39,81.68,14.37,1.54,3.2,3.2,2.44,2.44,3.99,3.99,94.39,-7.65,-7.65
1996-06-25,668.50,-0.06,15.43,14.25,238.08,7.73,9.85,16.4,10.13,-0.97,4.12,10.53,110.79,4.9,2.36,127.3,73.02,13.56,1.87,3.03,3.03,2.8,2.8,4.67,4.67,85.42,-8.67,-8.67
1996-06-26,664.40,-0.61,15.23,14.27,231.95,7.74,9.83,16.32,10.16,-1.09,4.1,10.53,110.97,4.7,2.38,120.98,73.13,13.57,1.66,3.03,3.03,2.79,2.79,4.45,4.45,85.33,-8.58,-8.58
1996-06-27,668.50,0.62,14.19,14.28,201.36,7.95,9.82,16.21,10.19,-2.02,4.08,10.67,113.82,3.52,2.4,87.53,74.9,13.74,0.45,3.07,3.07,2.72,2.72,3.17,3.17,86.02,-8.26,-8.26
1996-06-28,670.60,0.31,13.68,14.28,187.14,7.99,9.81,16.27,10.22,-2.59,4.06,10.69,114.36,2.99,2.42,72.78,75.24,13.77,-0.09,3.08,3.08,2.7,2.7,2.62,2.62,85.84,-8.28,-8.28
1996-07-01,675.90,0.79,13.78,14.29,189.89,8.12,9.8,16.25,10.26,-2.47,4.04,10.78,116.24,3.0,2.43,73.65,76.41,13.88,-0.1,3.1,3.1,2.66,2.66,2.56,2.56,87.09,-8.13,-8.13
1996-07-02,673.60,-0.34,14.19,14.3,201.36,7.99,9.79,16.26,10.29,-2.07,4.02,10.7,114.42,3.49,2.44,86.94,75.28,13.77,0.42,3.08,3.08,2.7,2.7,3.12,3.12,86.39,-8.27,-8.27
1996-07-03,672.40,-0.18,14.21,14.31,201.92,8.01,9.79,16.26,10.32,-2.05,3.99,10.71,114.65,3.5,2.46,87.27,75.42,13.79,0.42,3.08,3.08,2.7,2.7,3.12,3.12,86.55,-8.25,-8.25
1996-07-05,657.40,-2.23,16.09,14.33,258.89,9.93,9.78,14.93,10.35,1.16,3.98,11.94,142.67,4.15,2.48,116.22,92.82,15.35,0.74,3.4,3.4,2.02,2.02,2.76,2.76,105.51,-5.0,-5.0
1996-07-08,652.50,-0.75,16.42,14.35,269.62,10.08,9.78,14.75,10.37,1.67,3.97,12.04,145.03,4.38,2.5,124.58,94.28,15.47,0.95,3.43,3.43,1.96,1.96,2.91,2.91,107.28,-4.67,-4.67
1996-07-09,654.80,0.35,15.49,14.36,239.94,10.07,9.78,14.74,10.4,0.75,3.96,12.04,144.9,3.45,2.51,95.04,94.2,15.46,0.03,3.43,3.43,1.96,1.96,1.99,1.99,106.27,-4.66,-4.66
1996-07-10,656.10,0.2,15.51,14.37,240.56,9.81,9.78,14.74,10.43,0.77,3.94,11.87,140.85,3.64,2.52,99.71,91.69,15.25,0.26,3.38,3.38,2.06,2.06,2.32,2.32,103.82,-4.93,-4.93
1996-07-11,645.70,-1.59,17.81,14.39,317.2,10.63,9.79,14.06,10.46,3.75,3.94,12.4,153.73,5.41,2.54,163.47,99.68,15.92,1.89,3.52,3.52,1.76,1.76,3.66,3.66,113.97,-3.42,-3.42
1996-07-12,646.20,0.08,17.09,14.41,292.07,10.45,9.79,14.19,10.48,2.9,3.93,12.28,150.87,4.81,2.56,141.2,97.91,15.77,1.32,3.49,3.49,1.83,1.83,3.15,3.15,111.51,-3.74,-3.74
1996-07-15,629.80,-2.54,20.11,14.44,404.41,12.57,9.81,11.92,10.5,8.19,3.94,13.64,186.16,6.47,2.58,218.25,119.82,17.49,2.62,3.85,3.85,1.08,1.08,3.7,3.7,136.08,0.65,0.65
1996-07-16,628.40,-0.22,20.1,14.47,404.01,12.57,9.82,11.87,10.52,8.23,3.95,13.64,186.16,6.46,2.6,217.85,119.82,17.49,2.61,3.85,3.85,1.08,1.08,3.69,3.69,136.08,0.7,0.7
1996-07-17,634.10,0.91,19.22,14.5,369.41,12.69,9.83,11.74,10.55,7.48,3.95,13.73,188.38,5.49,2.62,181.02,121.2,17.6,1.62,3.87,3.87,1.03,1.03,2.66,2.66,136.55,0.95,0.95
1996-07-18,643.60,1.5,17.93,14.52,321.48,13.28,9.84,11.59,10.57,6.34,3.95,14.1,198.86,3.83,2.63,122.63,127.71,18.07,-0.14,3.97,3.97,0.83,0.83,0.68,0.68,141.67,1.69,1.69
1996-07-19,638.70,-0.76,17.26,14.54,297.91,13.26,9.85,11.62,10.59,5.64,3.94,14.09,198.57,3.17,2.64,99.34,127.53,18.06,-0.8,3.97,3.97,0.83,0.83,0.03,0.03,140.82,1.64,1.64
1996-07-22,633.80,-0.77,20.41,14.57,416.57,13.36,9.87,11.38,10.61,9.03,3.95,14.15,200.3,6.26,2.66,216.26,128.6,18.14,2.27,3.98,3.98,0.8,0.8,3.07,3.07,145.03,1.97,1.97
1996-07-23,626.90,-1.09,21.55,14.6,464.4,13.6,9.88,10.8,10.63,10.75,3.97,14.31,204.83,7.24,2.69,259.58,131.41,18.34,3.21,4.03,4.03,0.71,0.71,3.92,3.92,148.94,2.8,2.8
1996-07-24,626.60,-0.05,21.44,14.63,459.67,13.61,9.9,11.25,10.66,10.19,3.98,14.32,205.0,7.12,2.71,254.68,131.52,18.34,3.1,4.03,4.03,0.71,0.71,3.8,3.8,148.93,2.36,2.36
1996-07-25,631.20,0.73,19.39,14.66,375.97,13.89,9.91,11.38,10.68,8.01,3.98,14.5,210.11,4.89,2.73,165.86,134.69,18.57,0.82,4.07,4.07,0.61,0.61,1.43,1.43,150.01,2.5,2.5
1996-07-26,635.90,0.74,17.45,14.68,304.5,14.15,9.93,11.71,10.71,5.74,3.97,14.66,214.99,2.79,2.73,89.51,137.73,18.78,-1.33,4.12,4.12,0.52,0.52,-0.81,-0.81,151.06,2.44,2.44
1996-07-29,630.90,-0.79,20.09,14.7,403.61,14.26,9.95,11.38,10.73,8.71,3.97,14.74,217.13,5.35,2.75,186.48,139.05,18.87,1.22,4.14,4.14,0.48,0.48,1.69,1.69,155.01,2.88,2.88
1996-07-30,635.30,0.7,20.53,14.73,421.48,14.48,9.97,11.32,10.75,9.21,3.98,14.88,221.42,5.65,2.76,200.07,141.71,19.06,1.47,4.18,4.18,0.4,0.4,1.87,1.87,158.07,3.17,3.17
1996-07-31,640.00,0.74,19.46,14.75,378.69,14.67,9.99,11.25,10.78,8.21,3.98,15.0,225.09,4.46,2.77,153.6,144.0,19.21,0.25,4.21,4.21,0.33,0.33,0.58,0.58,159.25,3.42,3.42
1996-08-01,650.00,1.56,18.76,14.77,351.94,15.45,10.01,11.09,10.8,7.67,3.97,15.5,240.39,3.26,2.78,111.55,153.49,19.85,-1.09,4.34,4.34,0.05,0.05,-1.03,-1.03,167.91,4.36,4.36
1996-08-02,662.50,1.92,16.19,14.78,262.12,16.48,10.04,9.82,10.81,6.37,3.97,16.17,261.4,0.02,2.77,0.72,166.54,20.69,-4.5,4.52,4.52,-0.31,-0.31,-4.81,-4.81,178.21,6.66,6.66
1996-08-05,660.20,-0.35,17.36,14.8,301.37,16.37,10.07,9.76,10.83,7.6,3.97,16.1,259.17,1.26,2.77,42.2,165.15,20.6,-3.24,4.5,4.5,-0.28,-0.28,-3.51,-3.51,178.01,6.62,6.62
1996-08-06,662.40,0.33,16.93,14.82,286.62,16.38,10.1,9.78,10.85,7.15,3.97,16.1,259.24,0.83,2.76,27.38,165.2,20.6,-3.67,4.5,4.5,-0.28,-0.28,-3.95,-3.95,177.63,6.6,6.6
1996-08-07,664.20,0.27,16.24,14.83,263.74,16.4,10.13,9.77,10.86,6.47,3.97,16.12,259.71,0.12,2.76,4.03,165.49,20.62,-4.38,4.5,4.5,-0.29,-0.29,-4.67,-4.67,177.23,6.63,6.63
1996-08-08,662.60,-0.24,16.04,14.84,257.28,16.32,10.16,9.82,10.88,6.22,3.97,16.06,258.02,-0.02,2.75,-0.74,164.44,20.55,-4.51,4.49,4.49,-0.26,-0.26,-4.77,-4.77,175.99,6.5,6.5
1996-08-09,662.10,-0.08,15.77,14.85,248.69,16.21,10.19,9.82,10.89,5.95,3.96,15.99,255.8,-0.22,2.74,-7.11,163.07,20.47,-4.7,4.47,4.47,-0.22,-0.22,-4.91,-4.91,174.37,6.39,6.39
1996-08-12,665.80,0.56,15.57,14.86,242.42,16.27,10.22,9.76,10.91,5.81,3.95,16.03,257.07,-0.46,2.73,-14.65,163.86,20.52,-4.95,4.48,4.48,-0.24,-0.24,-5.19,-5.19,174.94,6.52,6.52
1996-08-13,660.20,-0.84,16.41,14.88,269.29,16.25,10.26,9.35,10.93,7.06,3.95,16.02,256.67,0.39,2.73,12.61,163.61,20.5,-4.09,4.48,4.48,-0.23,-0.23,-4.32,-4.32,175.54,6.91,6.91
1996-08-14,662.00,0.27,15.96,14.89,254.72,16.26,10.29,9.34,10.94,6.62,3.95,16.03,256.87,-0.07,2.72,-2.15,163.73,20.51,-4.55,4.48,4.48,-0.24,-0.24,-4.78,-4.78,175.21,6.92,6.92
1996-08-15,662.30,0.05,15.46,14.91,239.01,16.26,10.32,9.34,10.95,6.12,3.95,16.03,256.83,-0.57,2.71,-17.82,163.71,20.51,-5.05,4.48,4.48,-0.24,-0.24,-5.28,-5.28,174.69,6.92,6.92
1996-08-16,665.20,0.44,14.81,14.92,219.34,14.93,10.35,9.29,10.97,5.52,3.95,15.17,230.12,-0.36,2.7,-10.78,147.12,19.42,-4.61,4.25,4.25,0.24,0.24,-4.38,-4.38,157.68,5.64,5.64
1996-08-19,666.60,0.21,15.27,14.93,233.17,14.75,10.37,9.3,10.98,5.97,3.94,15.05,226.52,0.22,2.69,6.65,144.88,19.27,-4.0,4.22,4.22,0.3,0.3,-3.7,-3.7,155.93,5.45,5.45
1996-08-20,665.70,-0.14,14.73,14.93,216.97,14.74,10.4,9.43,10.99,5.3,3.94,15.04,226.31,-0.31,2.69,-9.33,144.75,19.26,-4.53,4.22,4.22,0.31,0.31,-4.23,-4.23,155.26,5.31,5.31
1996-08-21,665.10,-0.09,14.52,14.94,210.83,14.74,10.43,9.45,11.01,5.07,3.93,15.04,226.3,-0.52,2.67,-15.47,144.75,19.26,-4.74,4.22,4.22,0.31,0.31,-4.44,-4.44,155.05,5.29,5.29
1996-08-22,670.70,0.84,13.71,14.94,187.96,14.06,10.46,9.79,11.03,3.92,3.92,14.6,213.29,-0.89,2.66,-25.33,136.67,18.71,-5.0,4.1,4.1,0.55,0.55,-4.45,-4.45,146.28,4.27,4.27
1996-08-23,667.00,-0.55,14.18,14.95,201.07,14.19,10.48,9.56,11.04,4.62,3.91,14.69,215.88,-0.51,2.65,-14.81,138.28,18.82,-4.64,4.13,4.13,0.5,0.5,-4.14,-4.14,148.33,4.63,4.63
1996-08-26,663.90,-0.46,15.38,14.96,236.54,11.92,10.5,9.52,11.05,5.86,3.91,13.23,174.94,2.15,2.65,61.6,112.86,16.96,-1.58,3.74,3.74,1.31,1.31,-0.28,-0.28,124.5,2.4,2.4
1996-08-27,666.40,0.38,15.11,14.97,228.31,11.87,10.52,9.74,11.07,5.37,3.9,13.2,174.14,1.91,2.64,54.17,112.36,16.93,-1.82,3.73,3.73,1.32,1.32,-0.49,-0.49,123.74,2.14,2.14
1996-08-28,664.80,-0.24,15.1,14.98,228.01,11.74,10.55,9.76,11.08,5.34,3.9,13.11,171.9,1.99,2.64,56.11,110.97,16.82,-1.72,3.71,3.71,1.37,1.37,-0.35,-0.35,122.36,1.98,1.98
1996-08-29,657.40,-1.11,16.22,15.0,263.09,11.59,10.57,9.22,11.09,7.0,3.91,13.01,169.32,3.21,2.64,93.77,109.36,16.69,-0.47,3.68,3.68,1.43,1.43,0.95,0.95,121.9,2.37,2.37
1996-08-30,652.00,-0.82,17.01,15.02,289.34,11.62,10.59,8.69,11.1,8.32,3.92,13.04,169.97,3.97,2.65,119.37,109.77,16.73,0.28,3.69,3.69,1.41,1.41,1.7,1.7,123.09,2.93,2.93
1996-09-03,654.70,0.41,18.47,15.05,341.14,11.38,10.61,8.75,11.11,9.72,3.94,12.88,165.94,5.59,2.67,175.2,107.27,16.53,1.94,3.65,3.65,1.5,1.5,3.44,3.44,122.09,2.63,2.63
1996-09-04,655.60,0.14,18.64,15.08,347.45,10.8,10.63,8.74,11.12,9.9,3.96,12.51,156.39,6.13,2.68,191.06,101.34,16.05,2.59,3.55,3.55,1.71,1.71,4.29,4.29,116.43,2.06,2.06
1996-09-05,649.40,-0.95,20.51,15.11,420.66,11.25,10.66,7.99,11.13,12.52,3.99,12.8,163.75,7.71,2.7,256.91,105.91,16.42,4.09,3.62,3.62,1.55,1.55,5.63,5.63,122.79,3.27,3.27
1996-09-06,655.70,0.97,17.1,15.14,292.41,11.38,10.68,7.76,11.13,9.34,4.01,12.88,165.96,4.22,2.71,126.45,107.28,16.53,0.57,3.65,3.65,1.5,1.5,2.07,2.07,120.73,3.63,3.63
